#,Phase,Task,Status,Done On,Notes
14.15,Phase 1.14 - Prerequisites,Backend: evaluateAssertions accepts vars param + 3 callsites wire it through (monitor / flowRunner / prereqRunner),Done,2026-05-19,Single source of truth - same vars used for substitution everywhere
14.16,Phase 1.14 - Prerequisites,Frontend: assertion UI hints {{var}} support (placeholder + tip line),Done,2026-05-19,Users discover the feature without docs
14.17,Phase 1.14 - Prerequisites,Smoke test: prereq re-run after pool clear keeps flow green automatically,Done,2026-05-19,Proven across 3 step shapes (body / header / query param) on Default project
14.18,Phase 1.14 - Prerequisites,Backend: split runners into kickoff (sync runId) + executeRun (background); new /run-async endpoints return 202 with runId,Done,2026-05-19,Frontend can now show live per-step progress instead of a blocking spinner
14.19,Phase 1.14 - Prerequisites,Frontend: FlowCard + PrereqsPanel poll runId every 500ms; render running-pulse pill / queued dashed pill / progress bar,Done,2026-05-19,Step state transitions queued > running > done in real time
14.20,Phase 1.14 - Prerequisites,UX: progress bar shows 'Step N of M running...' + completed count above step list,Done,2026-05-19,Replaces 'simply loading n loading' opaque spinner
14.21,Phase 1.14 - Prerequisites,Backend: force flag on kickoff functions bypasses smart TTL skip-cache; /run-async accepts ?force=true,Done,2026-05-19,Production-grade pattern - human clicks bypass caches, scheduler keeps them
14.22,Phase 1.14 - Prerequisites,Frontend: manual Run-now buttons always pass force=true (FlowCard + PrereqsPanel),Done,2026-05-19,Button now does what it says - no more confusing SKIPPED on click
14.23,Phase 1.14 - Prerequisites,Smoke test: scheduler skips when fresh / manual click always refreshes the pool,Done,2026-05-19,Verified pool value before/after to prove both paths
15.1,Phase 1.15 - UX hardening,Active project persists across page refresh (localStorage),Done,2026-05-19,Refresh keeps you where you were instead of dumping to default
15.2,Phase 1.15 - UX hardening,Per-project scroll memory: save on leave / restore on return / top on fresh,Done,2026-05-19,Switching projects no longer 'inherits' middle-of-page scroll from the previous one
15.3,Phase 1.15 - UX hardening,Prereq panel auto-collapses 1.5s after run completes (restores pre-click state),Done,2026-05-19,Expands during run for live progress then snaps back as if untouched
15.4,Phase 1.15 - UX hardening,Two-click inline confirm for step delete (replaces native window.confirm),Done,2026-05-19,Avoids ugly browser confirm modal nested inside our editor modal
15.5,Phase 1.15 - UX hardening,Document title reflects active project + failing count,Done,2026-05-19,Tab title now '(3 failing) Project Name - Functional Monitor'
15.6,Phase 1.15 - UX hardening,Sidebar shows failing-count badge per project (pulsing red),Done,2026-05-19,Spot failing projects at a glance without clicking each one
15.7,Phase 1.15 - UX hardening,Step rows truncate long URLs cleanly (ellipsis + monospace),Done,2026-05-19,Prevents long URLs from pushing the edit hint off the card
15.8,Phase 1.15 - UX hardening,Backend: liveStep map in flowRunner + prereqRunner; each retry attempt + backoff phase is published in-memory,Done,2026-05-20,Enables live retry visibility without DB writes per attempt
15.9,Phase 1.15 - UX hardening,Backend: GET /flow-runs/:id and /prereq-runs/:id enrich response with optional liveStep while run is mid-flight,Done,2026-05-20,Single endpoint - existing poll cadence picks it up
15.10,Phase 1.15 - UX hardening,Frontend: running step pill switches to amber "RETRY N/M" + step row tints amber during retries,Done,2026-05-20,Distinguishes a retry-in-progress from a fresh attempt
15.11,Phase 1.15 - UX hardening,Frontend: progress bar shows "retry N of M (waiting before next try)" + last-try status code chip,Done,2026-05-20,No more silent waits during exponential backoff
15.12,Phase 1.15 - UX hardening,Smoke test: 503 endpoint with 3 retries traces attempt 1 to 4 transitions including backoff phase,Done,2026-05-20,Verified via /api/flow-runs/:id polling at 350ms cadence
16.1,Phase 1.16 - Binary uploads + UX tightening,Backend: uploads table + on-disk storage in data/uploads/<uuid>,Done,2026-05-21,One row per file; bytes live on disk not in SQLite
16.2,Phase 1.16 - Binary uploads + UX tightening,Backend: paths.ts helper centralises UPLOADS_DIR + per-id path,Done,2026-05-21,Shared by index.ts upload routes and timing.ts body builder
16.3,Phase 1.16 - Binary uploads + UX tightening,Backend: POST/GET/DELETE routes (express.raw 10MB cap; URL-encoded x-filename header),Done,2026-05-21,No multer dependency; raw bytes go straight to disk
16.4,Phase 1.16 - Binary uploads + UX tightening,Backend: store CRUD (createUpload/getUpload/listUploadsByProject/deleteUpload),Done,2026-05-21,Mirrors existing row-mapper pattern
16.5,Phase 1.16 - Binary uploads + UX tightening,Backend: bodyType=binary in timing.ts parses {uploadId fieldName?} body and builds raw or multipart,Done,2026-05-21,Empty fieldName = raw bytes; set = multipart/form-data
16.6,Phase 1.16 - Binary uploads + UX tightening,Frontend: shared BinaryBodyEditor with file picker / image preview / field-name / existing-uploads picker,Done,2026-05-21,Single component reused by URL + Flow step + Prereq step editors
16.7,Phase 1.16 - Binary uploads + UX tightening,Frontend: Binary tab added to all three body editors (URL form / Flow step / Prereq step),Done,2026-05-21,Discoverable in same Body tab as JSON / Raw / form-data
16.8,Phase 1.16 - Binary uploads + UX tightening,UX: Run Now on a Flow auto-runs the prereq chain first with force=true,Done,2026-05-21,Avoids spurious failures from stale auth tokens
16.9,Phase 1.16 - Binary uploads + UX tightening,UX: Audit renamed Generate report - snapshots current state; ?refresh=true opt-in for re-check,Done,2026-05-21,Used to re-run everything; now defaults to fast snapshot
16.10,Phase 1.16 - Binary uploads + UX tightening,Smoke test: upload list readback delete round-trip via curl,Done,2026-05-21,Verified POST returns id; GET streams bytes; DELETE 204s
16.11,Phase 1.16 - Binary uploads + UX tightening,Frontend: BinaryBodyEditor rebuilt in Postman style - Select File button + inline filename + clear x; compact utilitarian row,Done,2026-05-21,User feedback: oversized dropzone felt out of place vs rest of Postman-like editor
16.12,Phase 1.16 - Binary uploads + UX tightening,Frontend: real upload progress bar (XHR onprogress with %) replaces opaque "Uploading..." text,Done,2026-05-21,Live feedback for large files; no more guessing if it hung
16.13,Phase 1.16 - Binary uploads + UX tightening,Frontend: client-side max-size guard (10MB) shows inline error before hitting server,Done,2026-05-21,Saves a wasted upload + slow round-trip for over-cap files
16.14,Phase 1.16 - Binary uploads + UX tightening,Frontend: inline filename + size display with x clear button (Postman binary tab layout),Done,2026-05-21,Matches Postman binary body editor exactly
16.15,Phase 1.16 - Binary uploads + UX tightening,Frontend: Field name (optional) inline input - empty = raw bytes / set = multipart,Done,2026-05-21,Postman-style single-tab semantic instead of radio toggle
16.16,Phase 1.16 - Binary uploads + UX tightening,Frontend: inline left-bar error message (no large banners),Done,2026-05-21,Postman-style subdued inline feedback
16.17,Phase 1.16 - Binary uploads + UX tightening,Frontend: project uploads library - collapsible tight rows with thumb/ext / check for active / hover-only delete,Done,2026-05-21,Postman-style tight row list
16.18,Phase 1.16 - Binary uploads + UX tightening,Frontend: Flow card surfaces "Refreshing access tokens..." banner during prereq phase,Done,2026-05-21,Previously only a PREREQ pill switch - banner makes the wait self-explanatory
16.19,Phase 1.16 - Binary uploads + UX tightening,Frontend: Audit button copy "Snapshot & report" + tooltip clarifies no re-checks happen,Done,2026-05-21,Button now reads as the action it performs
16.20,Phase 1.16 - Binary uploads + UX tightening,Fix: x button on selected file now deletes from project (not just unbinds from step),Done,2026-05-21,User reported: deleted file still appeared in Project uploads list
16.21,Phase 1.16 - Binary uploads + UX tightening,Replace native window.confirm for upload delete with two-click inline confirm (matches existing step-delete pattern from 15.4),Done,2026-05-21,Stays in-app instead of jumping to browser modal
16.22,Phase 1.16 - Binary uploads + UX tightening,Prereq banner now shows live step-N-of-M + completed count + retry chip + filling progress bar,Done,2026-05-22,Previously opaque - users couldn't tell if prereq was progressing or stuck
16.23,Phase 1.16 - Binary uploads + UX tightening,FlowCard Run-now lifts prereq runId up so PrereqsPanel attaches and shows the full step-by-step progress UI (matching panel's own Run-now behaviour),Done,2026-05-22,User feedback: panel's complete bar only appeared when prereq triggered from the panel itself
17.1,Phase 1.17 - Step orchestration,Backend: copyFlowStepToFlow + moveFlowStepToFlow store fns (transactional / target positions shifted +1 / insert at pos=1 / source rebalanced on move),Done,2026-05-22,Single tx() per operation - no partial state on failure
17.2,Phase 1.17 - Step orchestration,Backend: POST /api/steps/:id/copy-to-flow + /move-to-flow routes (400 on missing step / same flow / missing target),Done,2026-05-22,Reuses existing getFlow + getFlowStep guards
17.3,Phase 1.17 - Step orchestration,Frontend: reorderPrereqSteps + copyStepToFlow + moveStepToFlow API wrappers,Done,2026-05-22,Mirrors existing reorderFlowSteps pattern
17.4,Phase 1.17 - Step orchestration,Frontend: utils/varRefs.ts helper - findVarRefs + checkStepVarRefs scans url/body/headers/query for {{name}} tokens,Done,2026-05-22,Reusable across Flow steps + Prereq steps via union type
17.5,Phase 1.17 - Step orchestration,Frontend: arrow-up/down micro-stack column on every step row (FlowCard + PrereqsPanel) with first/last disabled + optimistic UI + disabled mid-run,Done,2026-05-22,Manager chose arrow buttons over drag-and-drop
17.6,Phase 1.17 - Step orchestration,Frontend: hover-revealed Move + Copy buttons on Flow step rows (not prereqs) - opens MoveCopyStepModal,Done,2026-05-22,Scope is flow-to-flow only per design
17.7,Phase 1.17 - Step orchestration,Frontend: MoveCopyStepModal lists other flows in project / empty-state row / confirm-row with Move-arrow or Copy-arrow primary button,Done,2026-05-22,Drop position is always step 1 of target (no position picker)
17.8,Phase 1.17 - Step orchestration,Frontend: warn chip on rows with broken {{var}} refs after reorder (non-blocking - runtime still attempts and surfaces real error),Done,2026-05-22,Allow + warn per design - never blocks user
17.9,Phase 1.17 - Step orchestration,Smoke test: copy + move + reorder routes verified via curl on Default project (positions rebalanced correctly on both sides),Done,2026-05-22,Edges tested: same-flow 400 / missing step 400 / missing targetFlowId 400
17.10,Phase 1.17 - Step orchestration,Fix: Move/Copy target flow now auto-refreshes (ProjectView combines flowsTick into the refreshTick passed to FlowCards),Done,2026-05-22,User-reported: target flow didn't update until manual reload
17.11,Phase 1.17 - Step orchestration,Fix: deleteFlowStep + deletePrereqStep rebalance positions inside tx() so 1/2/3 -> 1/2 after deleting position 2,Done,2026-05-22,User-reported: numbers stayed sparse (1/3) after deletion
17.12,Phase 1.17 - Step orchestration,Scroll position survives page reload via localStorage (fm:scroll:<projectId>) + beforeunload/pagehide/visibilitychange + double-rAF restore on first snapshot,Done,2026-05-22,User requested - was in-memory only before
17.13,Phase 1.17 - Step orchestration,Per-project section memory: switching back to a project restores the last-viewed tab (#urls vs #flows) instead of forcing #urls; mirrored to localStorage on switch + page-hide,Done,2026-05-22,User-reported: switching projects was always resetting to #urls even on return visit
18.1,Phase 1.18 - For-each step,Backend types.ts: new ForEachConfig interface + forEach field on FlowStep,Done,2026-05-22,Single-level only - one for-each per flow
18.2,Phase 1.18 - For-each step,Backend types.ts: iterationIndex + iterationCount on StepResult; forEachIteration + forEachTotal on LiveStepProgress,Done,2026-05-22,Same iterationCount across every row of one iteration set
18.3,Phase 1.18 - For-each step,Backend extraction.ts: jsonPath learns [*] wildcard (recursive flatten); ExtractedValue.value widened to string | unknown[],Done,2026-05-22,$.data[*] returns whole array; $.data[*].id returns array of ids
18.4,Phase 1.18 - For-each step,Backend extraction.ts: substitute learns dotted-path lookup (walks object-typed vars for {{student.id}}),Done,2026-05-22,Bridges per-iteration item objects to template syntax
18.5,Phase 1.18 - For-each step,Backend db.ts: idempotent ensureColumn migrations - for_each_config_json on flow_steps + iteration_index + iteration_count on step_results,Done,2026-05-22,Existing rows default NULL = non-iterating step
18.6,Phase 1.18 - For-each step,Backend store.ts: normalizeForEach (identifier validation) + assertSingleForEach (single-level guard) + serialize/parse in add/update/copy/move,Done,2026-05-22,400 with 'only one for-each step is allowed per flow' on guard violation
18.7,Phase 1.18 - For-each step,Backend store.ts: recordStepResult writes iterationIndex/iterationCount; rowToFlowStep + rowToStepResult parse them back,Done,2026-05-22,Prereq runner passes nulls (prereqs never iterate)
18.8,Phase 1.18 - For-each step,Backend flowRunner.ts: iteration fork - resolves array var / caps at 100 / loops with per-iteration vars / records per-iteration row / never stops flow on iter failure,Done,2026-05-22,Failure policy locked by user constraint #1 - continue all iterations
18.9,Phase 1.18 - For-each step,Backend flowRunner.ts: LiveStepProgress publishes forEachIteration + forEachTotal between iterations,Done,2026-05-22,Mid-flight UI gets 'iteration X of N' label
18.10,Phase 1.18 - For-each step,Backend flowRunner.ts + assertions.ts + prereqRunner.ts: widen vars map to Record<string,unknown> with stringify on persistence,Done,2026-05-22,Bridges array/object vars in-memory vs string-only DB rows
18.11,Phase 1.18 - For-each step,Frontend types.ts: mirror backend - ForEachConfig + forEach on FlowStep + iteration* on StepResult + forEach* on LiveStepProgress,Done,2026-05-22,Single source-of-truth alignment
18.12,Phase 1.18 - For-each step,Frontend flowForms.tsx: new For each tab with dropdown of array-typed vars + item-name input + Disable button + single-level warning banner,Done,2026-05-22,Candidates auto-derived from earlier steps' extractions that use [*]
18.13,Phase 1.18 - For-each step,Frontend FlowCard.tsx: arrow-cycle pill 'for each {{item}}' in step header next to method tag,Done,2026-05-22,Indigo tint - subtle but discoverable
18.14,Phase 1.18 - For-each step,Frontend FlowCard.tsx: (N) check X / cross Y summary chip + chevron toggles scrollable per-iteration panel (status + latency + error reason + retry count),Done,2026-05-22,Max-height 260px - doesn't render 100 inline rows per user constraint #3
18.15,Phase 1.18 - For-each step,Frontend FlowCard.tsx: live progress label gets 'iteration X of N' suffix when liveStep.forEachTotal set,Done,2026-05-22,Increments per iteration; complements existing Step N of M label
18.16,Phase 1.18 - For-each step,Frontend varRefs.ts: regex widened to recognise {{name.dotted.path}}; checkStepVarRefs adds loop-local itemVarName to known set,Done,2026-05-22,No false-warn for {{student.id}} inside a for-each step
18.17,Phase 1.18 - For-each step,Frontend styles.css: .step-foreach-pill (indigo) + .step-iterations-summary (green/red w/ chevron) + .step-iterations-panel + .step-foreach-warning (yellow),Done,2026-05-22,Visual weight matches existing extract-row editor
18.18,Phase 1.18 - For-each step,Build clean: tsc -b on backend + tsc -b + vite build on frontend,Done,2026-05-22,Zero warnings; production bundle 273KB JS / 58KB CSS
